throughput,payload,rsrp,rsrq,sinr,cqi,ta,velocity,cell,f
24.521100,4.000000,-85.000000,-5.000000,22.000000,10.000000,7.000000,12.210000,26385408.000000,1815.000000
14.856100,2.000000,-84.000000,-6.000000,11.000000,13.000000,4.000000,11.170000,29391105.000000,1815.000000
16.268400,4.000000,-82.000000,-6.000000,21.000000,15.000000,4.000000,6.440000,29391105.000000,1815.000000
12.676100,9.000000,-94.000000,-9.000000,9.000000,9.000000,4.000000,10.110000,29391105.000000,1815.000000
14.588600,8.000000,-90.000000,-6.000000,16.000000,9.000000,4.000000,12.330000,29391105.000000,1815.000000
13.125500,6.000000,-101.000000,-10.000000,13.000000,15.000000,4.000000,11.690000,29391105.000000,1815.000000
16.373300,5.000000,-91.000000,-11.000000,8.000000,8.000000,4.000000,5.360000,29391105.000000,1815.000000
15.857300,4.000000,-98.000000,-12.000000,7.000000,7.000000,4.000000,0.000000,29391105.000000,1815.000000
15.103800,3.000000,-94.000000,-11.000000,-2.000000,6.000000,4.000000,0.000000,29391105.000000,1815.000000
11.851900,2.000000,-94.000000,-10.000000,2.000000,7.000000,4.000000,0.000000,29391105.000000,1815.000000
21.960800,7.000000,-92.000000,-9.000000,24.000000,10.000000,4.000000,0.000000,29391105.000000,1815.000000
22.015800,8.000000,-89.000000,-8.000000,10.000000,5.000000,4.000000,6.250000,29391104.000000,1815.000000
10.929000,1.000000,-91.000000,-8.000000,16.000000,7.000000,4.000000,12.180000,29391104.000000,1815.000000
27.118600,3.000000,-78.000000,-6.000000,15.000000,15.000000,4.000000,13.460000,29391104.000000,1815.000000
27.729600,4.000000,-84.000000,-7.000000,13.000000,14.000000,4.000000,13.940000,29391104.000000,1815.000000
9.345790,0.500000,-85.000000,-7.000000,11.000000,6.000000,3.000000,14.340000,29391106.000000,1815.000000
22.079100,9.000000,-87.000000,-7.000000,11.000000,9.000000,3.000000,14.410000,29391106.000000,1815.000000
17.897100,2.000000,-91.000000,-7.000000,9.000000,7.000000,3.000000,14.160000,29391106.000000,1815.000000
24.737200,5.000000,-98.000000,-7.000000,5.000000,6.000000,7.000000,6.640000,26385410.000000,1815.000000
8.350730,0.500000,-92.000000,-7.000000,10.000000,9.000000,7.000000,0.000000,26385410.000000,1815.000000
19.230800,5.000000,-92.000000,-6.000000,13.000000,7.000000,7.000000,0.000000,26385410.000000,1815.000000
3.619920,0.100000,-93.000000,-8.000000,13.000000,6.000000,7.000000,0.000000,26385410.000000,1815.000000
11.922500,1.000000,-90.000000,-7.000000,16.000000,10.000000,7.000000,10.290000,26385410.000000,1815.000000
3.809540,0.100000,-87.000000,-6.000000,19.000000,9.000000,7.000000,11.860000,26385410.000000,1815.000000
27.397300,6.000000,-83.000000,-6.000000,25.000000,15.000000,7.000000,11.200000,26385410.000000,1815.000000
23.952100,4.000000,-77.000000,-6.000000,22.000000,15.000000,7.000000,2.430000,26385410.000000,1815.000000
30.716700,9.000000,-67.000000,-5.000000,20.000000,13.000000,7.000000,11.210000,26385410.000000,1815.000000
18.946100,4.000000,-70.000000,-6.000000,19.000000,15.000000,7.000000,11.920000,26385410.000000,1815.000000
29.739800,6.000000,-75.000000,-7.000000,13.000000,15.000000,1.000000,11.290000,26385408.000000,1815.000000
7.633590,0.500000,-75.000000,-5.000000,22.000000,15.000000,1.000000,8.510000,26385408.000000,1815.000000
4.166680,0.100000,-78.000000,-6.000000,18.000000,15.000000,1.000000,8.140000,26385408.000000,1815.000000
31.031800,5.000000,-79.000000,-5.000000,21.000000,12.000000,1.000000,10.010000,26385408.000000,1815.000000
28.746000,10.000000,-81.000000,-6.000000,21.000000,10.000000,1.000000,12.590000,26385408.000000,1815.000000
20.960700,3.000000,-91.000000,-6.000000,7.000000,15.000000,1.000000,13.180000,26385408.000000,1815.000000
23.316800,10.000000,-85.000000,-6.000000,3.000000,6.000000,4.000000,8.870000,29391105.000000,1815.000000
4.395620,0.100000,-88.000000,-6.000000,14.000000,11.000000,4.000000,1.200000,29391105.000000,1815.000000
24.072200,3.000000,-81.000000,-5.000000,22.000000,14.000000,4.000000,0.000000,29391105.000000,1815.000000
26.556000,4.000000,-81.000000,-7.000000,23.000000,14.000000,4.000000,0.000000,29391105.000000,1815.000000
4.145090,0.100000,-86.000000,-7.000000,20.000000,11.000000,4.000000,4.990000,29391105.000000,1815.000000
16.227200,6.000000,-92.000000,-6.000000,11.000000,15.000000,4.000000,9.560000,29391105.000000,1815.000000
16.276700,2.000000,-86.000000,-5.000000,27.000000,10.000000,4.000000,12.180000,29391105.000000,1815.000000
11.863600,3.000000,-96.000000,-9.000000,4.000000,13.000000,4.000000,12.440000,29391105.000000,1815.000000
12.882400,2.000000,-89.000000,-7.000000,12.000000,15.000000,4.000000,4.590000,29391105.000000,1815.000000
15.884800,8.000000,-93.000000,-8.000000,7.000000,15.000000,4.000000,0.000000,29391105.000000,1815.000000
14.869900,3.000000,-96.000000,-8.000000,11.000000,11.000000,4.000000,0.000000,29391105.000000,1815.000000
15.736400,8.000000,-95.000000,-10.000000,4.000000,6.000000,4.000000,6.930000,29391105.000000,1815.000000
30.237600,7.000000,-92.000000,-8.000000,5.000000,6.000000,3.000000,12.310000,29391104.000000,1815.000000
32.603200,8.000000,-86.000000,-6.000000,17.000000,9.000000,3.000000,13.210000,29391104.000000,1815.000000
27.753700,4.000000,-82.000000,-7.000000,24.000000,12.000000,3.000000,13.530000,29391104.000000,1815.000000
6.896550,0.500000,-81.000000,-8.000000,13.000000,10.000000,3.000000,13.590000,29391104.000000,1815.000000
3.686650,0.100000,-83.000000,-7.000000,19.000000,10.000000,3.000000,14.630000,29391106.000000,1815.000000
22.304800,9.000000,-91.000000,-7.000000,8.000000,10.000000,3.000000,13.550000,29391106.000000,1815.000000
15.625000,4.000000,-96.000000,-13.000000,0.000000,6.000000,3.000000,9.500000,29391106.000000,1815.000000
21.993100,8.000000,-91.000000,-6.000000,25.000000,8.000000,6.000000,0.000000,26385410.000000,1815.000000
15.534000,2.000000,-89.000000,-7.000000,27.000000,10.000000,6.000000,8.970000,26385410.000000,1815.000000
26.468200,8.000000,-86.000000,-8.000000,30.000000,11.000000,6.000000,12.660000,26385410.000000,1815.000000
16.701500,1.000000,-83.000000,-6.000000,17.000000,15.000000,6.000000,12.750000,26385410.000000,1815.000000
23.289700,2.000000,-76.000000,-6.000000,32.000000,11.000000,6.000000,3.870000,26385410.000000,1815.000000
3.319510,0.100000,-66.000000,-7.000000,40.000000,13.000000,6.000000,0.000000,26385410.000000,1815.000000
28.712400,8.000000,-69.000000,-6.000000,16.000000,14.000000,6.000000,1.570000,26385410.000000,1815.000000
