throughput,payload,rsrp,rsrq,sinr,cqi,ta,velocity,cell,f
0.051633,0.100000,-111.000000,-13.000000,6.000000,6.000000,16.000000,10.110000,12806666.000000,1865.100000
1.291360,6.000000,-121.000000,-15.000000,-8.000000,4.000000,63.000000,9.900000,13067274.000000,1865.100000
3.179400,10.000000,-119.000000,-15.000000,-4.000000,6.000000,21.000000,12.470000,13392904.000000,1865.100000
2.925580,2.000000,-106.000000,-8.000000,5.000000,11.000000,16.000000,12.450000,12806666.000000,1865.100000
8.792820,6.000000,-110.000000,-9.000000,9.000000,10.000000,16.000000,11.950000,12806666.000000,1865.100000
5.161310,0.100000,-94.000000,-7.000000,23.000000,15.000000,16.000000,0.000000,12806666.000000,1865.100000
4.733750,0.100000,-95.000000,-7.000000,23.000000,12.000000,16.000000,0.000000,12806666.000000,1865.100000
10.126600,0.500000,-92.000000,-8.000000,24.000000,15.000000,16.000000,0.000000,12806666.000000,1865.100000
19.767000,7.000000,-98.000000,-6.000000,14.000000,12.000000,16.000000,0.000000,12806666.000000,1865.100000
4.705900,0.100000,-105.000000,-10.000000,1.000000,6.000000,16.000000,13.010000,12806666.000000,1865.100000
8.817050,9.000000,-105.000000,-7.000000,14.000000,15.000000,16.000000,13.470000,12806666.000000,1865.100000
10.963200,7.000000,-104.000000,-8.000000,12.000000,10.000000,16.000000,13.510000,12806666.000000,1865.100000
7.278610,9.000000,-99.000000,-7.000000,14.000000,11.000000,16.000000,14.330000,12806666.000000,1865.100000
4.618940,0.500000,-107.000000,-8.000000,7.000000,7.000000,16.000000,14.200000,12806666.000000,1865.100000
6.617040,7.000000,-111.000000,-8.000000,23.000000,15.000000,16.000000,0.000000,12806666.000000,1865.100000
4.938270,0.500000,-107.000000,-7.000000,7.000000,10.000000,16.000000,0.000000,12806666.000000,1865.100000
5.586590,4.000000,-108.000000,-7.000000,5.000000,10.000000,16.000000,0.000000,12806666.000000,1865.100000
4.694840,0.500000,-106.000000,-7.000000,10.000000,10.000000,16.000000,0.000000,12806666.000000,1865.100000
4.015060,6.000000,-111.000000,-8.000000,8.000000,7.000000,16.000000,11.480000,12806666.000000,1865.100000
3.549250,0.500000,-112.000000,-10.000000,3.000000,7.000000,16.000000,11.520000,12806666.000000,1865.100000
4.571450,0.100000,-109.000000,-8.000000,7.000000,15.000000,16.000000,11.190000,12806666.000000,1865.100000
3.225810,1.000000,-107.000000,-7.000000,7.000000,15.000000,16.000000,4.440000,12806666.000000,1865.100000
6.441220,0.500000,-110.000000,-9.000000,5.000000,6.000000,16.000000,9.890000,12806666.000000,1865.100000
3.811340,1.000000,-110.000000,-11.000000,2.000000,7.000000,16.000000,11.960000,12806666.000000,1865.100000
8.926910,6.000000,-100.000000,-12.000000,4.000000,15.000000,71.000000,11.350000,13067274.000000,1865.100000
6.522630,8.000000,-99.000000,-9.000000,10.000000,12.000000,71.000000,6.520000,13067274.000000,1865.100000
6.966620,3.000000,-101.000000,-8.000000,6.000000,15.000000,71.000000,8.060000,13067274.000000,1865.100000
3.258660,1.000000,-106.000000,-8.000000,4.000000,12.000000,71.000000,9.760000,13067274.000000,1865.100000
0.695350,1.000000,-117.000000,-11.000000,1.000000,7.000000,63.000000,11.780000,13067274.000000,1865.100000
1.300820,0.100000,-118.000000,-22.000000,-14.000000,1.000000,15.000000,11.250000,14264834.000000,860.000000
5.820300,10.000000,-113.000000,-13.000000,-2.000000,7.000000,17.000000,0.000000,12806666.000000,1865.100000
2.851030,1.000000,-111.000000,-10.000000,3.000000,9.000000,17.000000,0.000000,12806666.000000,1865.100000
