throughput,payload,rsrp,rsrq,sinr,cqi,ta,velocity,cell,f
4.659290,1.000000,-99.000000,-9.000000,-1.000000,8.000000,9.000000,12.020000,13828122.000000,1845.000000
3.967600,6.000000,-97.000000,-12.000000,-2.000000,9.000000,7.000000,7.200000,13416987.000000,1845.000000
6.516780,5.000000,-96.000000,-12.000000,5.000000,5.000000,7.000000,7.710000,13416987.000000,1845.000000
1.373630,7.000000,-89.000000,-11.000000,13.000000,9.000000,7.000000,0.000000,13416987.000000,1845.000000
4.094170,7.000000,-100.000000,-15.000000,-4.000000,4.000000,12.000000,0.000000,13542402.000000,850.000000
2.337060,9.000000,-112.000000,-18.000000,-6.000000,3.000000,7.000000,0.000000,13416987.000000,1845.000000
0.803955,5.000000,-102.000000,-14.000000,-2.000000,6.000000,7.000000,2.340000,13416987.000000,1845.000000
1.038220,8.000000,-106.000000,-14.000000,-1.000000,6.000000,7.000000,11.940000,13416987.000000,1845.000000
0.631064,2.000000,-100.000000,-16.000000,-7.000000,6.000000,13.000000,12.080000,13880067.000000,850.000000
2.179240,10.000000,-99.000000,-13.000000,-5.000000,5.000000,13.000000,12.080000,13880067.000000,850.000000
1.345560,4.000000,-95.000000,-12.000000,-4.000000,6.000000,13.000000,13.700000,13880066.000000,850.000000
1.490040,3.000000,-95.000000,-14.000000,-1.000000,5.000000,11.000000,14.070000,13542402.000000,850.000000
1.610950,3.000000,-98.000000,-15.000000,-4.000000,5.000000,13.000000,13.610000,13880067.000000,850.000000
1.082770,9.000000,-99.000000,-16.000000,-5.000000,5.000000,13.000000,14.200000,13880067.000000,850.000000
2.865070,4.000000,-101.000000,-15.000000,-3.000000,5.000000,8.000000,1.110000,13542402.000000,850.000000
0.682623,2.000000,-96.000000,-14.000000,-2.000000,5.000000,8.000000,1.110000,13542402.000000,850.000000
1.563450,9.000000,-96.000000,-18.000000,-5.000000,4.000000,13.000000,0.000000,13880067.000000,850.000000
1.990540,9.000000,-97.000000,-16.000000,-3.000000,4.000000,8.000000,0.000000,13542402.000000,850.000000
