label,speed,length,startX0,dur0,min0,mean0,std0,hist0_0,hist0_1,hist0_2,hist0_3,hist0_4,hist0_5,startX1,dur1,min1,mean1,std1,hist1_0,hist1_1,hist1_2,hist1_3,hist1_4,hist1_5,startX2,dur2,min2,mean2,std2,hist2_0,hist2_1,hist2_2,hist2_3,hist2_4,hist2_5,startX3,dur3,min3,mean3,std3,hist3_0,hist3_1,hist3_2,hist3_3,hist3_4,hist3_5,startX4,dur4,min4,mean4,std4,hist4_0,hist4_1,hist4_2,hist4_3,hist4_4,hist4_5,startX5,dur5,min5,mean5,std5,hist5_0,hist5_1,hist5_2,hist5_3,hist5_4,hist5_5,startX6,dur6,min6,mean6,std6,hist6_0,hist6_1,hist6_2,hist6_3,hist6_4,hist6_5,startX7,dur7,min7,mean7,std7,hist7_0,hist7_1,hist7_2,hist7_3,hist7_4,hist7_5,startX8,dur8,min8,mean8,std8,hist8_0,hist8_1,hist8_2,hist8_3,hist8_4,hist8_5
0a,12.7586,6.9407,0.216,0.528,0.564878,0.796263,0.0237498,1.5,0.833333,0.666667,1.5,1.16667,0,0.36,0.608,0.619491,0.807888,0.0185648,1.66667,0.833333,1.33333,1.5,1.16667,0,0.504,0.688,0.672788,0.825836,0.0117603,1.16667,2.33333,1,2.83333,0,0,0.376,0.592,0.591244,0.803324,0.0220018,1.66667,1,1,1.16667,1.5,0,0.616,0.528,0.60654,0.811037,0.0196198,1.5,1,1,1.16667,1,0,0.76,0.624,0.689579,0.818092,0.013244,1.5,1,1.16667,3,0,0,0.552,0.688,0.727303,0.851262,0.0109855,2,1,3.5,0.833333,0,0,0.76,0.592,0.744037,0.845339,0.00837664,1.5,1.16667,3.16667,0.5,0,0,1,0.576,0.648631,0.827619,0.0164281,1.83333,0.666667,1.33333,2.16667,0.166667,0
0a,10.9672,5.43971,0.216,0.496,0.757812,0.861152,0.00867894,1.5,0.833333,3,0,0,0,0.376,0.608,0.705621,0.836779,0.0115134,1.5,1.16667,1.66667,2.16667,0,0,0.552,0.672,0.739833,0.864372,0.00755623,1.5,2.5,2.66667,0.5,0,0,0.376,0.592,0.719688,0.855114,0.0090637,1.66667,1.33333,2.33333,1,0,0,0.68,0.496,0.76719,0.879567,0.00591508,1.5,1.33333,2.5,0,0,0,0.904,0.56,0.68278,0.833521,0.0134974,1.5,1.16667,1.33333,2,0,0,0.616,0.624,0.721781,0.860275,0.0095029,1.33333,1.83333,2.5,1,0,0,0.84,0.544,0.790058,0.879872,0.00510418,1.5,1.83333,2.5,0,0,0,1.128,0.496,0.811321,0.901805,0.00456751,1.66667,2.33333,1.33333,0,0,0
0a,13.3341,6.82708,0.216,0.496,0.664541,0.830801,0.0169482,1.66667,0.833333,0.833333,2,0,0,0.376,0.56,0.684183,0.830348,0.0150233,1.66667,0.833333,1,2.5,0,0,0.536,0.688,0.633659,0.834958,0.014212,1.83333,1.5,2,1.33333,0.666667,0,0.36,0.56,0.655265,0.815488,0.015838,1.5,1,1,2.5,0,0,0.568,0.528,0.742688,0.851382,0.0101739,1.5,1,2.83333,0.333333,0,0,0.76,0.608,0.674496,0.839288,0.0128906,1.66667,1.16667,2,1.66667,0,0,0.504,0.656,0.820805,0.906925,0.00401021,2,2.83333,2.16667,0,0,0,0.696,0.672,0.69456,0.863546,0.0104253,2.83333,1.16667,1.66667,1.5,0,0,0.968,0.512,0.758616,0.863277,0.00927217,1.66667,0.833333,3,0,0,0
0a,14.5401,7.75473,0.216,0.512,0.704281,0.838598,0.0148922,1.66667,0.833333,0.666667,2.33333,0,0,0.344,0.592,0.702789,0.828504,0.0118747,1.5,1,1.5,2.33333,0,0,0.472,0.656,0.658884,0.822692,0.0140984,1.33333,2,1.16667,2.5,0,0,0.376,0.592,0.719633,0.847491,0.0110556,1.66667,1,2.66667,1,0,0,0.568,0.528,0.769426,0.867838,0.00793555,1.66667,0.833333,3.16667,0,0,0,0.744,0.576,0.739692,0.849883,0.00884813,1.5,1.16667,3.16667,0.333333,0,0,0.616,0.544,0.688048,0.844322,0.0134404,1.33333,1.5,1.16667,1.83333,0,0,0.712,0.672,0.775933,0.881582,0.00642816,2.66667,1.33333,3.16667,0,0,0,0.904,0.56,0.718381,0.838371,0.0126161,1.5,1,1,2.5,0,0
0a,9.4697,5.55556,0.216,0.576,0.718569,0.861263,0.00940154,1.66667,1,2.5,1,0,0,0.408,0.672,0.6414,0.819468,0.0142088,1.5,1.33333,1.33333,2.66667,0.333333,0,0.552,1.008,0.730052,0.841016,0.00716762,1.66667,2.66667,4.33333,2,0,0,0.44,0.688,0.732616,0.838556,0.00896005,1.66667,1.16667,2.83333,1.66667,0,0,0.744,0.576,0.785599,0.878857,0.0045898,1.5,1.83333,2.83333,0,0,0,1,0.64,0.662303,0.819962,0.0114069,1.16667,1.5,2.33333,1.83333,0,0,0.792,0.672,0.657494,0.831426,0.0142915,1.66667,1.5,1.66667,2.33333,0,0,0.936,0.672,0.728165,0.852296,0.00854793,1.66667,1.5,3,1,0,0,1.272,0.608,0.791475,0.883109,0.00440168,1.66667,2,2.83333,0,0,0
0a,12.7586,7.14484,0.216,0.56,0.702554,0.828839,0.0143943,1.66667,0.666667,1,2.66667,0,0,0.344,0.624,0.731545,0.855097,0.00852492,1.5,1.5,2.83333,0.833333,0,0,0.408,0.88,0.653518,0.82284,0.0129702,2.5,1.33333,2.16667,3.33333,0,0,0.408,0.656,0.740565,0.844944,0.00988072,1.66667,1.16667,2.83333,1.33333,0,0,0.6,0.576,0.785288,0.872376,0.00567349,1.5,1.33333,3.33333,0,0,0,0.776,0.624,0.735546,0.862458,0.00845883,1.66667,1.66667,2.66667,0.666667,0,0,0.68,0.608,0.735751,0.849257,0.00953052,1.33333,1.66667,2.33333,1.16667,0,0,0.808,0.592,0.729121,0.86064,0.00708205,1.33333,1.83333,2.5,0.666667,0,0,1,0.544,0.733193,0.850309,0.0105421,1.66667,0.833333,2,1.33333,0,0
0a,11.1702,7.08936,0.216,0.608,0.711085,0.83161,0.0133057,1.66667,0.833333,1,3,0,0,0.344,0.736,0.618859,0.800775,0.0149633,1.66667,1,1.33333,3,0.833333,0,0.52,0.928,0.701816,0.832639,0.00792117,2.16667,1.5,4.5,1.66667,0,0,0.424,0.672,0.692238,0.813214,0.0142839,1.66667,1,1,3.5,0,0,0.648,0.656,0.744339,0.854137,0.00813322,1.66667,1,3.83333,0.5,0,0,0.824,0.736,0.697337,0.836269,0.00992863,1.66667,1.16667,3.16667,1.83333,0,0,0.6,0.8,0.675216,0.845451,0.0109575,1.66667,2.66667,2.33333,1.83333,0,0,0.824,0.72,0.742973,0.842205,0.00721452,1.66667,1,4.33333,0.666667,0,0,1.112,0.64,0.692633,0.824918,0.0121059,1.66667,1,1.66667,2.5,0,0
0a,10.2477,5.3015,0.216,0.528,0.776346,0.871706,0.00837387,1.66667,0.833333,3.16667,0,0,0,0.344,0.608,0.691846,0.828591,0.0136732,1.66667,1.16667,1.16667,2.5,0,0,0.44,0.768,0.666291,0.840784,0.00920068,1.66667,1.66667,3.83333,1,0,0,0.472,0.576,0.760611,0.879567,0.00641039,1.66667,1.66667,2.83333,0,0,0,0.712,0.512,0.81215,0.887865,0.00337281,1.16667,2.33333,2,0,0,0,0.904,0.592,0.677693,0.829713,0.0144789,1.5,1.33333,1.16667,2.33333,0,0,0.712,0.688,0.679226,0.862849,0.0109545,1.83333,2.33333,2,1.16667,0,0,0.936,0.56,0.811944,0.887715,0.00434368,1.33333,2.16667,2.5,0,0,0,1.192,0.512,0.843552,0.904559,0.00309602,1.5,3.33333,0.666667,0,0,0
0a,11.5741,6.41975,0.216,0.512,0.72264,0.845311,0.0133179,1.66667,0.833333,1,2,0,0,0.312,0.64,0.74812,0.845483,0.00805344,1.5,1,4.16667,0.166667,0,0,0.424,0.864,0.733024,0.849043,0.00622316,2,1.16667,5.16667,0.833333,0,0,0.424,0.624,0.770725,0.867075,0.00624457,1.66667,1,4,0,0,0,0.648,0.576,0.760511,0.864548,0.00661016,1.5,1.16667,3.5,0,0,0,0.776,0.688,0.746959,0.874439,0.00596835,1.5,3.33333,2.33333,0.166667,0,0,0.648,0.72,0.781025,0.880244,0.00488464,1.66667,2.83333,3.16667,0,0,0,0.84,0.656,0.735822,0.853603,0.00741038,1.5,1.33333,3.16667,1,0,0,1.08,0.576,0.752528,0.852251,0.00937386,1.66667,1,3.5,0,0,0
0a,13.3019,7.0234,0.232,0.496,0.742339,0.863737,0.00901943,1.5,1,2.5,0.333333,0,0,0.344,0.608,0.688979,0.836678,0.010618,1.5,1.16667,2.5,1.33333,0,0,0.552,0.704,0.726709,0.840701,0.00787816,1.5,1.5,3.83333,0.666667,0,0,0.392,0.56,0.740407,0.865859,0.00800043,1.66667,1.16667,2.83333,0.333333,0,0,0.616,0.512,0.75142,0.859586,0.00762768,1.33333,1.16667,3,0,0,0,0.808,0.592,0.735419,0.864016,0.0075754,1.33333,1.5,3,0.5,0,0,0.568,0.576,0.737633,0.86652,0.00856477,1.5,1.5,2.5,0.666667,0,0,0.744,0.56,0.736429,0.863775,0.00775576,1.5,1.33333,2.66667,0.5,0,0,0.984,0.576,0.773442,0.874086,0.00703127,2.16667,1,3,0,0,0
0a,11.1607,6.36905,0.216,0.56,0.684921,0.829608,0.0136216,1.5,0.833333,1.5,2.16667,0,0,0.36,0.672,0.742438,0.835616,0.0080546,1.5,1.16667,3.66667,0.833333,0,0,0.52,0.832,0.741224,0.845086,0.00658207,1.5,2.16667,4.5,0.666667,0,0,0.44,0.608,0.750547,0.846467,0.00770652,1.5,1.16667,3.83333,0,0,0,0.664,0.592,0.713531,0.843583,0.0105143,1.66667,0.833333,2.66667,1.16667,0,0,0.888,0.64,0.733864,0.871482,0.00694268,1.66667,1.83333,2.83333,0.5,0,0,0.664,0.672,0.745743,0.855813,0.00738479,1.16667,2,3.5,0.5,0,0,0.856,0.608,0.733106,0.848124,0.0086349,1.5,1.16667,2.83333,1,0,0,1.112,0.56,0.72951,0.835548,0.0111917,1.5,1,1.16667,2.33333,0,0
0a,11.5741,6.79012,0.232,0.544,0.721354,0.848122,0.0100036,1.5,1,2.5,0.833333,0,0,0.392,0.688,0.692102,0.824184,0.0126985,1.66667,1.16667,1.83333,2.66667,0,0,0.584,0.832,0.72164,0.835458,0.00627438,1.33333,2,4.83333,0.666667,0,0,0.424,0.64,0.699694,0.828187,0.0123962,1.66667,1,1.16667,3,0,0,0.664,0.608,0.749184,0.845759,0.008875,1.5,1,3.83333,0.166667,0,0,0.904,0.672,0.735104,0.844473,0.00761075,1.5,1.16667,4,0.5,0,0,0.568,0.752,0.771142,0.873077,0.00564222,1.66667,2.66667,3.66667,0,0,0,0.808,0.624,0.75181,0.846811,0.00781972,1.33333,1.33333,4,0,0,0,1.096,0.608,0.733864,0.843541,0.0103195,1.66667,1,2.83333,1,0,0
0a,12.5,6.93333,0.216,0.56,0.728546,0.843881,0.0118774,1.66667,0.833333,1.83333,1.66667,0,0,0.376,0.608,0.745658,0.850314,0.0088392,1.5,1.16667,3,0.833333,0,0,0.568,0.672,0.739708,0.866425,0.00722782,1.5,2.5,2.33333,0.833333,0,0,0.392,0.592,0.774496,0.866859,0.00761443,1.66667,1,3.66667,0,0,0,0.616,0.544,0.766517,0.863409,0.00640325,1.5,1,3.33333,0,0,0,0.776,0.64,0.753376,0.864877,0.0067004,1.66667,1.16667,4,0,0,0,0.584,0.672,0.798867,0.876857,0.00614588,1.66667,1.5,4,0,0,0,0.792,0.72,0.752886,0.884089,0.0063218,2.83333,1.5,3.33333,0,0,0,1.016,0.56,0.726493,0.84609,0.0110477,1.5,1,2.16667,1.33333,0,0
0a,8.83207,6.4533,0.216,0.672,0.583559,0.776787,0.0220829,1.66667,0.833333,0.666667,1.83333,2.16667,0,0.376,0.784,0.551483,0.748518,0.0244353,1.66667,0.833333,1,1.83333,3,0,0.472,1.008,0.72074,0.833892,0.00935611,1.83333,1.83333,4.83333,2.16667,0,0,0.504,0.768,0.589476,0.784334,0.0207406,1.66667,1.16667,2,1.16667,2.16667,0,0.744,0.848,0.568132,0.807058,0.0211602,2.66667,1.16667,2.5,0.666667,2,0,0.968,0.768,0.657883,0.81211,0.0133826,1.5,1.66667,1.33333,3.66667,0,0,0.888,0.832,0.72818,0.859558,0.00692489,1.66667,3,3.16667,1,0,0,1.064,0.768,0.692053,0.836372,0.00934948,1.5,1.66667,3.16667,1.83333,0,0,1.352,0.672,0.592978,0.806153,0.0170447,1.66667,1,1.5,2.16667,0.833333,0
0a,11.6166,6.87705,0.216,0.608,0.610256,0.782789,0.0218029,1.66667,0.666667,0.833333,1.66667,1.66667,0,0.312,0.704,0.63571,0.789272,0.0184818,1.5,1,1,3.16667,0.833333,0,0.408,0.96,0.690857,0.820384,0.0102029,1.5,2.66667,2.83333,3.16667,0,0,0.44,0.752,0.606417,0.790117,0.0154371,1.33333,1.66667,1.16667,2.66667,1.16667,0,0.68,0.592,0.586304,0.800064,0.0216848,1.5,0.833333,1.66667,0.833333,1.5,0,0.808,0.64,0.677891,0.835391,0.0120958,1.5,1.5,1.83333,2,0,0,0.696,0.752,0.759561,0.863735,0.00790417,1.83333,1.66667,4.5,0,0,0,0.872,0.624,0.753652,0.848622,0.00813468,1.5,1.5,3.66667,0,0,0,1.08,0.576,0.665279,0.829929,0.01677,1.66667,1,1.16667,2.33333,0,0
0a,9.21544,5.3081,0.216,0.576,0.627987,0.815248,0.0199277,1.66667,0.833333,1.16667,1.5,1,0,0.408,0.656,0.632874,0.807609,0.0161776,1.5,1,2,1.83333,0.666667,0,0.552,0.816,0.658936,0.804065,0.0111834,1.33333,1.33333,2.5,3.5,0,0,0.584,0.608,0.700158,0.827002,0.012966,1.66667,1,0.833333,3,0,0,0.856,0.56,0.687195,0.84113,0.0116695,1.5,1,2,1.5,0,0,1.048,0.672,0.699684,0.815683,0.0121815,1.66667,0.833333,1.33333,3.33333,0,0,0.776,0.768,0.699555,0.829994,0.0101393,1.66667,1.66667,2.33333,2.5,0,0,1.032,0.656,0.722169,0.83212,0.0092056,1.33333,1.5,2.5,1.66667,0,0,1.32,0.592,0.732094,0.839695,0.0110713,1.66667,1,1.5,2.16667,0,0
0a,8.16198,5.52838,0.232,0.672,0.655777,0.833872,0.0163289,1.83333,0.833333,2.33333,2.16667,0,0,0.424,0.784,0.613741,0.777946,0.0183763,1.66667,1,1,2.83333,1.83333,0,0.68,1.056,0.737024,0.869683,0.00740043,2,4.66667,3.5,1,0,0,0.6,0.768,0.661993,0.799108,0.0134271,1.5,1,1.83333,3.83333,0,0,0.904,0.688,0.722963,0.831017,0.00927707,1.5,0.833333,3.16667,1.83333,0,0,1.128,0.816,0.66856,0.781877,0.0146506,1.5,0.833333,1,5.33333,0,0,0.872,0.864,0.707023,0.849302,0.00873937,1.66667,2.66667,2.83333,2,0,0,1.144,0.736,0.696204,0.823612,0.0121421,1.66667,1,2.5,2.66667,0,0,1.464,0.672,0.702368,0.816339,0.0114846,1.5,1,1.66667,3,0,0
0a,11.1702,6.97022,0.216,0.592,0.706707,0.829642,0.0113965,1.5,0.833333,2.33333,1.66667,0,0,0.376,0.704,0.693352,0.827047,0.0120237,1.66667,1,2.66667,2.16667,0,0,0.6,0.768,0.703897,0.835524,0.00923515,1.16667,2.66667,1.83333,2.5,0,0,0.408,0.688,0.713943,0.824495,0.0111668,1.5,1.16667,1.83333,2.83333,0,0,0.648,0.64,0.752662,0.854568,0.00661211,1.5,1.16667,4.16667,0,0,0,0.872,0.688,0.770757,0.855698,0.0058158,1.33333,1.66667,4.33333,0,0,0,0.616,0.784,0.732321,0.865517,0.00789762,1.66667,3.33333,2.66667,0.666667,0,0,0.84,0.816,0.727128,0.860297,0.00912143,2.83333,1.33333,3.83333,0.666667,0,0,1.112,0.64,0.666877,0.811977,0.0136176,1.5,0.833333,1.66667,2.83333,0,0
0a,10.5952,6.66794,0.232,0.624,0.6696,0.819303,0.0158515,1.66667,0.833333,1.33333,2.83333,0,0,0.376,0.736,0.709391,0.833092,0.00896392,1.66667,1,4.16667,1,0,0,0.616,0.896,0.710335,0.844366,0.00848263,2.16667,1.66667,3.83333,1.83333,0,0,0.408,0.736,0.670077,0.814431,0.0135279,1.66667,1.16667,2,3,0,0,0.696,0.624,0.706538,0.831177,0.0103765,1.5,1,2.33333,1.83333,0,0,0.888,0.72,0.721626,0.84299,0.00883785,1.66667,1,3.83333,1.16667,0,0,0.648,0.8,0.675786,0.841946,0.0113811,1.66667,2.83333,1.5,2.5,0,0,0.888,0.704,0.695209,0.834184,0.00954755,1.5,1.16667,3.16667,1.66667,0,0,1.176,0.64,0.699613,0.827186,0.0116234,1.5,1.16667,2,2.16667,0,0
