label,speed,length,dur0,min0,mean0,std0,hist0_0,hist0_1,hist0_2,hist0_3,hist0_4,hist0_5
0a,12.7586,6.9407,0.528,0.564878,0.796263,0.0237498,0.264706,0.147059,0.117647,0.264706,0.205882,0
0a,10.9672,5.43971,0.496,0.757812,0.861152,0.00867894,0.28125,0.15625,0.5625,0,0,0
0a,13.3341,6.82708,0.496,0.664541,0.830801,0.0169482,0.3125,0.15625,0.15625,0.375,0,0
0a,14.5401,7.75473,0.512,0.704281,0.838598,0.0148922,0.30303,0.151515,0.121212,0.424242,0,0
0a,9.4697,5.55556,0.576,0.718569,0.861263,0.00940154,0.27027,0.162162,0.405405,0.162162,0,0
0a,12.7586,7.14484,0.56,0.702554,0.828839,0.0143943,0.277778,0.111111,0.166667,0.444444,0,0
0a,11.1702,7.08936,0.608,0.711085,0.83161,0.0133057,0.25641,0.128205,0.153846,0.461538,0,0
0a,10.2477,5.3015,0.528,0.776346,0.871706,0.00837387,0.294118,0.147059,0.558824,0,0,0
0a,11.5741,6.41975,0.512,0.72264,0.845311,0.0133179,0.30303,0.151515,0.181818,0.363636,0,0
0a,13.3019,7.0234,0.496,0.742339,0.863737,0.00901943,0.28125,0.1875,0.46875,0.0625,0,0
0a,11.1607,6.36905,0.56,0.684921,0.829608,0.0136216,0.25,0.138889,0.25,0.361111,0,0
0a,11.5741,6.79012,0.544,0.721354,0.848122,0.0100036,0.257143,0.171429,0.428571,0.142857,0,0
0a,12.5,6.93333,0.56,0.728546,0.843881,0.0118774,0.277778,0.138889,0.305556,0.277778,0,0
0a,8.83207,6.4533,0.672,0.583559,0.776787,0.0220829,0.232558,0.116279,0.0930233,0.255814,0.302326,0
0a,11.6166,6.87705,0.608,0.610256,0.782789,0.0218029,0.25641,0.102564,0.128205,0.25641,0.25641,0
0a,9.21544,5.3081,0.576,0.627987,0.815248,0.0199277,0.27027,0.135135,0.189189,0.243243,0.162162,0
0a,8.16198,5.52838,0.672,0.655777,0.833872,0.0163289,0.255814,0.116279,0.325581,0.302326,0,0
0a,11.1702,6.97022,0.592,0.706707,0.829642,0.0113965,0.236842,0.131579,0.368421,0.263158,0,0
0a,10.5952,6.66794,0.624,0.6696,0.819303,0.0158515,0.25,0.125,0.2,0.425,0,0
0a,11.8177,8.57179,0.688,0.558782,0.75879,0.0236897,0.204545,0.113636,0.0909091,0.363636,0.227273,0
0a,9.77199,6.0456,0.592,0.598414,0.80208,0.0214703,0.263158,0.131579,0.210526,0.184211,0.210526,0
0a,9.19648,6.03289,0.64,0.629283,0.805935,0.0187647,0.243902,0.121951,0.121951,0.390244,0.121951,0
0a,12.5134,6.60705,0.512,0.651277,0.817466,0.0163688,0.272727,0.151515,0.121212,0.454545,0,0
0a,11.5741,6.35802,0.512,0.647007,0.818739,0.0204644,0.30303,0.121212,0.121212,0.393939,0.0606061,0
0a,9.34085,6.07778,0.656,0.621269,0.799657,0.0189423,0.238095,0.0952381,0.119048,0.380952,0.166667,0
0a,11.863,6.58004,0.512,0.599404,0.809555,0.0230907,0.30303,0.121212,0.151515,0.242424,0.181818,0
0a,10.5952,6.61144,0.64,0.673473,0.800262,0.0167905,0.243902,0.0731707,0.146341,0.536585,0,0
0a,10.0806,6.07527,0.56,0.551644,0.793516,0.0260272,0.277778,0.138889,0.0833333,0.277778,0.222222,0
0a,12.7586,7.21289,0.56,0.642328,0.853565,0.0258714,0.361111,0.138889,0.138889,0.277778,0.0833333,0
0a,9.86896,5.52662,0.544,0.645277,0.818949,0.0167682,0.285714,0.142857,0.171429,0.342857,0.0571429,0
0a,8.64974,5.21291,0.56,0.629904,0.792031,0.0187456,0.222222,0.166667,0.111111,0.277778,0.222222,0
0a,9.50063,5.21901,0.528,0.642438,0.817472,0.0196337,0.264706,0.147059,0.117647,0.411765,0.0588235,0
0a,10.2625,6.51324,0.592,0.56875,0.772641,0.0312525,0.263158,0.131579,0.0789474,0.105263,0.421053,0
0a,12.7586,6.87266,0.544,0.67779,0.822816,0.0147592,0.257143,0.114286,0.142857,0.485714,0,0
0a,13.587,6.66667,0.464,0.678104,0.836862,0.0151659,0.3,0.133333,0.166667,0.4,0,0
0a,10.0876,5.91809,0.544,0.654959,0.818771,0.0146918,0.257143,0.114286,0.228571,0.4,0,0
0a,11.8177,7.43729,0.592,0.612243,0.789739,0.0257433,0.263158,0.131579,0.105263,0.184211,0.315789,0
0a,9.56383,5.7128,0.592,0.64107,0.810522,0.017218,0.263158,0.131579,0.0789474,0.473684,0.0526316,0
0a,10.9852,6.85478,0.608,0.71409,0.828391,0.0123058,0.25641,0.128205,0.205128,0.410256,0,0
0a,10.7844,6.32686,0.544,0.642266,0.808572,0.0179671,0.257143,0.114286,0.142857,0.371429,0.114286,0
0a,12.0311,6.99408,0.576,0.58605,0.794627,0.0242004,0.297297,0.108108,0.0810811,0.27027,0.243243,0
0a,12.0311,7.50741,0.576,0.602656,0.795278,0.0218692,0.27027,0.108108,0.108108,0.324324,0.189189,0
0a,13.3994,6.789,0.512,0.673281,0.827794,0.0155483,0.272727,0.181818,0.121212,0.424242,0,0
0a,12.2833,6.28903,0.512,0.69465,0.83821,0.0117623,0.272727,0.151515,0.333333,0.242424,0,0
0a,10.8536,7.06206,0.624,0.667707,0.822506,0.0176693,0.275,0.1,0.125,0.5,0,0
0a,9.82335,6.49651,0.656,0.644886,0.81901,0.0177368,0.261905,0.166667,0.119048,0.404762,0.047619,0
0a,9.00735,5.38039,0.56,0.714053,0.845928,0.011532,0.277778,0.138889,0.333333,0.25,0,0
0a,8.27565,5.25228,0.624,0.735401,0.837417,0.0094485,0.225,0.15,0.475,0.15,0,0
0a,8.8459,5.18959,0.56,0.742031,0.847366,0.00983009,0.25,0.138889,0.527778,0.0833333,0,0
0a,9.57164,5.00278,0.496,0.605861,0.830238,0.0193089,0.28125,0.15625,0.25,0.125,0.1875,0
0a,10.8165,5.53806,0.512,0.714489,0.854906,0.0109441,0.272727,0.181818,0.363636,0.181818,0,0
0a,8.22962,5.44252,0.64,0.645274,0.811407,0.0156748,0.219512,0.146341,0.268293,0.268293,0.097561,0
0a,9.65651,5.40765,0.592,0.718566,0.850868,0.0100024,0.263158,0.131579,0.473684,0.131579,0,0
0a,8.59801,4.31047,0.496,0.758935,0.879953,0.00647007,0.28125,0.21875,0.5,0,0,0
0a,10.3422,6.34321,0.512,0.63968,0.816843,0.0205061,0.272727,0.151515,0.151515,0.30303,0.121212,0
0a,8.50542,5.21666,0.608,0.65997,0.817258,0.0133642,0.230769,0.128205,0.25641,0.384615,0,0
0a,7.29328,5.01778,0.64,0.610706,0.789175,0.0182464,0.219512,0.121951,0.097561,0.390244,0.170732,0
0a,9.28021,5.19692,0.544,0.727152,0.852552,0.0121608,0.285714,0.171429,0.314286,0.228571,0,0
0a,10.6855,5.69894,0.48,0.696495,0.844169,0.0146629,0.290323,0.16129,0.193548,0.354839,0,0
0a,10.0861,5.37923,0.512,0.657723,0.821372,0.0195785,0.30303,0.121212,0.121212,0.454545,0,0
0a,8.98118,5.70006,0.608,0.681891,0.817056,0.0151657,0.230769,0.128205,0.153846,0.487179,0,0
0a,13.3019,7.37811,0.56,0.7146,0.854311,0.0119113,0.277778,0.138889,0.416667,0.166667,0,0
0a,7.71683,8.10782,1.056,0.623621,0.75323,0.0185389,0.149254,0.119403,0.119403,0.253731,0.358209,0
0a,12.0311,6.67325,0.544,0.58169,0.81227,0.0220485,0.285714,0.142857,0.228571,0.142857,0.2,0
0a,12.7586,6.9407,0.544,0.727084,0.851767,0.0110892,0.285714,0.142857,0.4,0.171429,0,0
0a,10.4244,6.22684,0.608,0.707823,0.834392,0.0111001,0.230769,0.128205,0.410256,0.230769,0,0
0a,11.5847,7.16705,0.56,0.566645,0.774403,0.0246,0.25,0.111111,0.138889,0.194444,0.305556,0
0a,9.12077,5.69136,0.608,0.613742,0.816092,0.0176448,0.25641,0.128205,0.230769,0.25641,0.128205,0
6a,11.1607,12.6786,1.168,0.492926,0.681229,0.0256766,0.135135,0.0675676,0.0540541,0.121622,0.445946,0.175676
6a,9.9223,16.0874,1.52,0.533979,0.690952,0.0161486,0.09375,0.0520833,0.03125,0.28125,0.479167,0.0625
6a,9.76562,14.4792,1.408,0.565114,0.688381,0.0189121,0.11236,0.0449438,0.0561798,0.168539,0.617978,0
6a,9.76562,13.2813,1.344,0.469734,0.646643,0.0269645,0.117647,0.0470588,0.0470588,0.129412,0.258824,0.4
6a,10.5952,13.788,1.28,0.526115,0.659737,0.0233786,0.123457,0.0493827,0.0493827,0.0740741,0.555556,0.148148
2a,12.2833,5.69944,0.432,0.632395,0.835583,0.0170775,0.321429,0.142857,0.25,0.178571,0.107143,0
2a,14.2835,7.00842,0.464,0.578433,0.832499,0.0244333,0.333333,0.133333,0.2,0.166667,0.166667,0
2a,11.1702,4.82553,0.432,0.76549,0.894664,0.00825981,0.321429,0.25,0.428571,0,0,0
2a,12.258,6.01461,0.464,0.608921,0.832544,0.0197869,0.3,0.166667,0.233333,0.133333,0.166667,0
2a,12.7586,6.39633,0.48,0.647733,0.843111,0.0163876,0.322581,0.16129,0.225806,0.225806,0.0645161,0
2a,13.0208,5.76389,0.432,0.644486,0.858619,0.0181386,0.357143,0.178571,0.178571,0.25,0.0357143,0
2a,10.0028,4.74802,0.464,0.657206,0.852151,0.0143098,0.3,0.166667,0.3,0.233333,0,0
2a,12.7871,6.13781,0.48,0.624365,0.831441,0.0185425,0.290323,0.16129,0.225806,0.225806,0.0967742,0
2a,11.7953,6.60534,0.608,0.595662,0.837227,0.0195043,0.384615,0.128205,0.153846,0.205128,0.128205,0
2a,9.93567,5.14005,0.496,0.644269,0.827128,0.0163353,0.28125,0.15625,0.25,0.25,0.0625,0
2a,12.5,5.8,0.448,0.634061,0.841062,0.0155629,0.310345,0.172414,0.275862,0.172414,0.0689655,0
2a,12.0311,5.96743,0.464,0.579669,0.833955,0.0231342,0.333333,0.133333,0.233333,0.1,0.2,0
2a,11.1518,4.87706,0.416,0.735281,0.882028,0.013875,0.37037,0.185185,0.259259,0.185185,0,0
2a,12.0311,5.58243,0.448,0.65184,0.844661,0.0165643,0.344828,0.137931,0.172414,0.344828,0,0
2a,9.82335,5.86782,0.672,0.564652,0.815675,0.0246818,0.372093,0.116279,0.162791,0.116279,0.232558,0
2a,11.6166,5.6999,0.464,0.641245,0.831104,0.0179,0.3,0.166667,0.133333,0.3,0.1,0
2a,13.3019,6.10113,0.432,0.623788,0.850597,0.0195749,0.357143,0.178571,0.178571,0.142857,0.142857,0
2a,14.6677,6.17999,0.4,0.817723,0.912194,0.00576204,0.384615,0.269231,0.346154,0,0,0
2a,11.3862,5.58685,0.48,0.693377,0.863605,0.0121008,0.322581,0.193548,0.290323,0.193548,0,0
2a,10.4244,5.83766,0.544,0.586983,0.814266,0.0223822,0.285714,0.142857,0.2,0.171429,0.2,0
2a,12.258,5.29548,0.432,0.690491,0.865937,0.0123911,0.357143,0.178571,0.285714,0.178571,0,0
2a,11.5741,5.49383,0.464,0.743155,0.86348,0.00982558,0.3,0.166667,0.433333,0.1,0,0
2a,10.0033,4.37478,0.432,0.644105,0.848369,0.0162423,0.321429,0.178571,0.25,0.214286,0.0357143,0
2a,10.5709,4.34111,0.384,0.705066,0.882853,0.012343,0.4,0.2,0.2,0.2,0,0
2a,8.05819,4.38365,0.544,0.639707,0.824548,0.0160233,0.257143,0.171429,0.257143,0.228571,0.0857143,0
2a,9.86388,4.41902,0.448,0.672753,0.858138,0.0139998,0.310345,0.172414,0.310345,0.206897,0,0
2a,11.6166,5.82381,0.496,0.633338,0.832185,0.0179438,0.28125,0.15625,0.28125,0.15625,0.125,0
2a,8.46245,5.0549,0.576,0.781364,0.859693,0.00763417,0.243243,0.135135,0.621622,0,0,0
2a,11.3157,4.76769,0.416,0.656742,0.854862,0.0168869,0.333333,0.148148,0.222222,0.296296,0,0
2a,8.72102,4.09307,0.448,0.666407,0.853267,0.0147149,0.310345,0.172414,0.241379,0.275862,0,0
2a,10.4755,4.97236,0.464,0.612548,0.833834,0.0194697,0.3,0.166667,0.2,0.166667,0.166667,0
2a,11.7953,5.66172,0.496,0.715303,0.860514,0.0122089,0.3125,0.15625,0.34375,0.1875,0,0
2a,11.1989,6.45055,0.528,0.638286,0.826994,0.017651,0.294118,0.147059,0.235294,0.235294,0.0882353,0
3a,9.76562,11.6667,1.2,0.63942,0.742839,0.0127999,0.118421,0.0657895,0.0526316,0.644737,0.118421,0
3a,13.587,9.05797,0.672,0.682045,0.830241,0.00987868,0.209302,0.139535,0.465116,0.186047,0,0
3a,9.32974,8.16042,0.864,0.646375,0.766475,0.0153488,0.181818,0.0727273,0.109091,0.6,0.0363636,0
3a,10.0806,9.56989,0.928,0.606867,0.756885,0.0183076,0.169492,0.0847458,0.152542,0.305085,0.288136,0
3a,9.4755,8.43951,0.848,0.672664,0.81732,0.00985538,0.185185,0.0925926,0.537037,0.185185,0,0
3a,12.0669,13.3862,1.088,0.721649,0.848629,0.0079544,0.144928,0.333333,0.333333,0.188406,0,0
3a,8.02691,13.3996,1.664,0.566765,0.722255,0.0107498,0.0857143,0.047619,0.114286,0.619048,0.133333,0
3a,7.73573,10.3143,1.344,0.678027,0.773371,0.0100021,0.129412,0.0588235,0.164706,0.647059,0,0
3a,10.0876,8.44672,0.816,0.683201,0.804586,0.0118953,0.192308,0.115385,0.269231,0.423077,0,0
3a,12.2833,11.3989,0.88,0.691151,0.799031,0.0121815,0.178571,0.107143,0.232143,0.482143,0,0
3a,12.7586,9.18622,0.704,0.815017,0.874602,0.00459383,0.2,0.177778,0.622222,0,0,0
3a,10.5952,13.788,1.28,0.666809,0.817822,0.00796894,0.111111,0.185185,0.493827,0.209877,0,0
3a,12.0192,8.97436,0.752,0.706593,0.816188,0.0119858,0.208333,0.125,0.208333,0.458333,0,0
3a,9.19648,11.232,1.216,0.673646,0.796512,0.00869793,0.12987,0.0909091,0.454545,0.324675,0,0
3a,5.78704,18.2099,3.088,0.645034,0.761802,0.00515337,0.0463918,0.0412371,0.412371,0.489691,0.0103093,0
3a,7.51179,10.8971,1.392,0.64053,0.742571,0.0101862,0.113636,0.0340909,0.0454545,0.761364,0.0454545,0
3a,9.44263,10.4247,0.976,0.600401,0.759233,0.016496,0.16129,0.0806452,0.241935,0.274194,0.241935,0
3a,7.89517,9.9795,1.232,0.624718,0.76484,0.0123457,0.128205,0.0512821,0.282051,0.435897,0.102564,0
3a,8.89865,7.64098,0.832,0.653103,0.806897,0.0128345,0.188679,0.113208,0.339623,0.358491,0,0
3a,9.06941,8.07782,0.912,0.670523,0.795713,0.0122941,0.172414,0.12069,0.172414,0.534483,0,0
3a,10.4167,10.1667,0.976,0.662699,0.776544,0.0128907,0.145161,0.0967742,0.241935,0.516129,0,0
3a,10.9672,9.59261,0.832,0.644686,0.781517,0.0151378,0.188679,0.113208,0.0754717,0.584906,0.0377358,0
3a,10.6115,13.7525,1.232,0.672605,0.817565,0.00912207,0.128205,0.192308,0.410256,0.269231,0,0
